slug,canonical_key,title,starts_at,ends_at,location_name,address,city,url,image_url,category,audience,price,status,source,source_id,source_url,dedupe_key,description,tags,accessibility,raw_categories,raw_target_audience,raw_accessibility,latitude,longitude,venue_url,venue_contact,venue_extra_info,venue_schedule,venue_category,venue_district,venue_accessibility,venue_tags
entre-a-palavra-e-o-silencio,entre-a-palavra-e-o-silencio-macam-museu-de-arte-contemporanea-2026-03-16,Entre a Palavra e o Silêncio,2026-03-16,2026-06-01,MACAM - Museu de Arte Contemporânea,"Rua da Junqueira, 66, 1300-343 Lisboa",Lisboa,https://www.agendalx.pt/wp-json/agendalx/v1/events,https://www.agendalx.pt/content/uploads/2025/10/aj-00928-1_w1920.jpeg,artes,,,approved,agendalx,224519,https://www.agendalx.pt/wp-json/agendalx/v1/events,6135a5054e4fcd3bc214cbbf870f1ddfe2a9f5cf,"O MACAM inaugura uma nova etapa do conceito The House of Private Collection (A Casa das Coleções Privadas), apresentando pela primeira vez uma coleção particular convidada – a de José Carlos Sa...",,,artes,,,38.700497,-9.18314,www.macam.pt,,macam@macam.pt,,,,,
monstra-festival-de-animacao-de-lisboa-5,monstra-festival-de-animacao-de-lisboa-cinema-city-alvalade-2026-03-16,MONSTRA - Festival de Animação de Lisboa,2026-03-16,2026-03-22,Cinema City Alvalade,"Avenida de Roma, 100, 1700, Lisboa",Lisboa,https://www.agendalx.pt/wp-json/agendalx/v1/events,https://www.agendalx.pt/content/uploads/2026/02/wings-and-oars.jpeg,cinema,,"a:2:{i:0;a:2:{s:5:""value"";s:1:""5"";s:11:""description"";s:41:""preço normal (ver descontos aplicáveis)"";}i:1;a:2:{s:5:""value"";s:4:""3,20"";s:11:""description"";s:35:""preço normal - sessões Cinemateca"";}}",approved,agendalx,231127,https://www.agendalx.pt/wp-json/agendalx/v1/events,7c49ed9b52306c116acd91eb80249d313f089e37,"O melhor do cinema de animação está de regresso a Lisboa. Na 25.ª edição da MONSTRA, a Letónia é o país convidado, trazendo a Lisboa o seu cinema de animação, considerado um dos mais distin...","animação, festival, MONSTRA",,cinema,,,38.75431,-9.14454,http://www.cinemacity.pt,218 413 040,,,cinema,alvalade,,
lisbon-drawing-club-4,lisbon-drawing-club-centro-de-nossa-senhora-dos-anjos-2026-03-16,Lisbon Drawing Club,2026-03-16,2026-07-20,Centro de Nossa Senhora dos Anjos,"Rua Andrade, 13 G, 1170-013, Lisboa",Lisboa,https://www.agendalx.pt/wp-json/agendalx/v1/events,https://www.agendalx.pt/content/uploads/2026/02/492810751_1045654814447378_457644199839501040_n.jpg,artes,,,approved,agendalx,231798,https://www.agendalx.pt/wp-json/agendalx/v1/events,7b30470395c3391dae838eb2ce93a14d1c487c11,"O Lisbon Drawing Club é uma comunidade de amantes do desenho que se encontram regularmente para desenhar, aprender e conviver em diferentes espaços culturais da cidade de Lisboa. As sessões e ma...","desenho, masterclasse",,artes,,,38.722554,-9.133853,,,,,instituicao,,,
detalhes-em-cor,detalhes-em-cor-doubletree-by-hilton-lisbon-fontana-park-2026-03-16,Detalhes em Cor,2026-03-16,2026-05-18,DoubleTree by Hilton Lisbon - Fontana Park,"Rua Engº Vieira da Silva, 2, 1050-105, Lisboa",Lisboa,https://www.agendalx.pt/wp-json/agendalx/v1/events,https://www.agendalx.pt/content/uploads/2026/03/Imagem1.jpg,artes,,,approved,agendalx,232545,https://www.agendalx.pt/wp-json/agendalx/v1/events,842a88a374b3bde2a32592586f31b5df2347b308,"<em>Detalhes em Cor</em> propõe uma imersão na riqueza cromática, explorando variações, contrastes e harmonias que despertam o olhar atento e transformam a perceção do espaço.","coletiva, pintura",,artes,,,38.731379,-9.143846,,210 410 600,,,hotel,,,
visitas-ao-templo-radha-krishna,visitas-ao-templo-radha-krishna-comunidade-hindu-de-portugal-2026-03-16,Visitas ao Templo Radha Krishna,2026-03-16,2026-12-31,Comunidade Hindu de Portugal,"Alameda Mahatma Gandhi, 1600, Lisboa",Lisboa,https://www.agendalx.pt/wp-json/agendalx/v1/events,https://www.agendalx.pt/content/uploads/2024/08/templo_hindu_2.jpg,visitas guiadas,,,approved,agendalx,197328,https://www.agendalx.pt/wp-json/agendalx/v1/events,65463714c1ff64ff821cfc7f91be7aca422d16ed,"<p class=""font_8 wixui-rich-text__text""><span class=""wixui-rich-text__text""><span class=""color_15 wixui-rich-text__text"">O Templo Radha Krishna foi inaugurado oficialmente a 4 de Novembro de 1998 e d<...",,,visitas guiadas,,,38.7700919,-9.1734685,http://www.comunidadehindu.org,217 576 524,,,instituicao,lumiar,,
teresa-couto-pinto,teresa-couto-pinto-mude-museu-do-design-2026-03-16,Teresa Couto Pinto,2026-03-16,2026-04-26,MUDE - Museu do Design,"Rua Augusta, 24, 1100-053, Lisboa",Lisboa,https://www.agendalx.pt/wp-json/agendalx/v1/events,https://www.agendalx.pt/content/uploads/2025/12/Variacoes-00294.jpg,artes,,,approved,agendalx,225415,https://www.agendalx.pt/wp-json/agendalx/v1/events,75d1de2779aacf7e3fae5a97e2e7ced78d451d38,"Em 1981, António Variações (1944–1984) irrompe no panorama nacional através de <em>O Passeio dos Alegres</em>, de Júlio Isidro, revelando-se como uma das figuras mais singulares da música pop...","fotografia, vestuário",,artes,,,38.709176,-9.136667,http://www.mude.pt,218 171 892,Email geral: mude@cm-lisboa.pt,"Abril a setembro: Terça a quinta, das 10h às 19h | sexta e sábado, das 10h às 21h | domingos e feriados, das 10h às 19h
Outubro a março: Terça a quinta, das 10h às 18h | sexta e sábado, das 10h às 20h | domingos e feriados, das 10h às 18h

Encerra a 25 de dezembro e 1 de janeiro","equipamento-municipal, museu",santa-maria-maior,,
christine-enregle-3,christine-enregle-galeria-de-santa-maria-maior-2026-03-16,Christine Enrègle,2026-03-16,2026-03-28,Galeria de Santa Maria Maior,"Rua da Madalena, 147, 1100-006 Lisboa, Lisboa",Lisboa,https://www.agendalx.pt/wp-json/agendalx/v1/events,https://www.agendalx.pt/content/uploads/2026/01/Christine-Enrègle_Oliveira-Linhas-de-vida-Lisboa-2025_BD-scaled.jpeg,artes,,,approved,agendalx,229548,https://www.agendalx.pt/wp-json/agendalx/v1/events,5dba75334f98a00e5060ca6729094c8f18758b09,"A exposição apresenta cerca de vinte desenhos a carvão sobre tela de algodão de grande tamanho realizados a partir da oliveira do Rossio. Juntos, eles formarão um percurso em que os espetadores...",desenho,,artes,,,38.711391,-9.135808,www.facebook.com/galeriasantamariamaior/,210 416 300,,,galeria,,,
vasco-olino,vasco-olino-escola-das-artes-universidade-autonoma-de-lisboa-2026-03-16,Vasco Olino,2026-03-16,2026-05-29,Escola das Artes - Universidade Autónoma de Lisboa,"Rua Fernando Assis Pacheco, 207, 1350-300, Lisboa",Lisboa,https://www.agendalx.pt/wp-json/agendalx/v1/events,https://www.agendalx.pt/content/uploads/2026/02/dddd.jpg,artes,,free,approved,agendalx,231172,https://www.agendalx.pt/wp-json/agendalx/v1/events,2974dd46989a6cb52e799894683e084dbc2cbd77,"A exposição reúne vários trabalhos desenvolvidos por Vasco Olino ao longo dos últimos meses, em que se destaca a prática da pintura com recurso a diferentes técnicas e materiais, bem como a uti...","gratuito, pintura",,artes,,,38.715042,-9.165881,https://escoladasartes.autonoma.pt/,213 177 662,escoladasartes@autonoma.pt,,escola,,,
rita-gt,rita-gt-zet-galeria-de-arte-2026-03-16,Rita GT,2026-03-16,2026-06-02,ZET Galeria de Arte,"Rua da Prata, 176, 1100-619, Lisboa",Lisboa,https://www.agendalx.pt/wp-json/agendalx/v1/events,https://www.agendalx.pt/content/uploads/2026/02/PAULO-MENDES-ARCHIVE-STUDIO-_-EDITORIA-_-RITA-GT_-23_CF096748.jpeg,artes,,free,approved,agendalx,231804,https://www.agendalx.pt/wp-json/agendalx/v1/events,db07c6ad75e75304220ef7dcd0015fcf6a2dbef4,"<em>Cerâmica-Matéria-Mulher: semióticas do gesto</em>, por Rita GT é a nova proposta da ZET. A artista de Viana do Castelo explora a forma como o corpo, a matéria e o gesto produzem uma linguagem...","cerâmica, gratuito",,artes,,,38.711565,-9.137154,,,,,galeria,,,
joao-fazenda-2,joao-fazenda-casa-da-imprensa-2026-03-16,João Fazenda,2026-03-16,2026-04-24,Casa da Imprensa,"Rua da Horta Seca, 20, 1200-170, Lisboa",Lisboa,https://www.agendalx.pt/wp-json/agendalx/v1/events,https://www.agendalx.pt/content/uploads/2026/03/Joao-Fazenda.png,artes,,free,approved,agendalx,232548,https://www.agendalx.pt/wp-json/agendalx/v1/events,1c9e025abbe60c38b2b9b9d62ca34a94b660dd76,"Reunindo um conjunto de cartoons e ilustrações criados entre o final de 2024 e 2025, <em>Contra-relógio</em> reflete a experiência do ilustrador João Fazenda no universo editorial, onde a criaç?...","cartoons, gratuito, ilustração",,artes,,,38.710221,-9.144493,https://www.casadaimprensa.pt/,213 420 277,geral@casadaimprensa.pt,,,,,
