"source","source_id","original_title","resolved_title","starts_at","start_time","ends_at","end_time","venue_name","location_name","address","city","price","currency","image_url","canonical_url","ticket_url","source_notes","query_title","chosen_url","enrich_ok","needs_review","candidate_score","candidate_strong_signals","candidate_reasons"
"visitlisboa","en/events/laaf-lisbon-art-antiques-fair-2","LAAF - Lisbon Art & Antiques Fair'26","LAAF – Lisbon Art & Antiques Fair","2025-05-09","15:00","2025-05-17","21:00","Cordoaria Nacional","Cordoaria Nacional","Av. da Índia","Lisbon","15 €","EUR","https://www.agendalx.pt/content/uploads/2025/04/5483e331a9bace540b3a2478fc014e25_XL.jpg","https://www.agendalx.pt/events/event/laaf-lisbon-art-antiques-fair/?lang=en","","Event times: Every day 15:00-21:00, Friday until 23:00. Price as listed. No ticket URL found.","LAAF - Lisbon Art & Antiques Fair'26","https://www.agendalx.pt/events/event/laaf-lisbon-art-antiques-fair/?lang=en","true","true","4","1","has_title | title_event_pattern:/\bfair\b/i | source_visitlisboa | good_host | weak_title_without_support"
"visitlisboa","en/events/octopus-festival-ericeira","Octopus Festival | Ericeira","Octopus Festival | Ericeira","","","","","","","","Lisbon","","","https://www.visitlisboa.com/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsiZGF0YSI6MzY2NDcsInB1ciI6ImJsb2JfaWQifX0=--29aeb793c9de6941c058a7df4a8bc810e5062d95/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGciLCJyZXNpemUiOiI1MTJ4NTEyXHUwMDNlIn0sInB1ciI6InZhcmlhdGlvbiJ9fQ==--0ba8b7f58340100b312280e63751a8a851d1f9fb/gen-visit-lisboa-festival-do-polvo.jpg","https://www.visitlisboa.com/en/events","","","Octopus Festival | Ericeira","","false","true","8","1","has_title | title_event_pattern:/\bfestival\b/i | source_visitlisboa | good_host"
"visitlisboa","en/events/kulturfest-festival-of-german-expression-cultures-l","KULTURfest - Festival of German Expression Cultures l","KULTURfest - Festival of German Expression Cultures l","","","","","","","","Lisbon","","","https://www.visitlisboa.com/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsiZGF0YSI6Mjk5NjUsInB1ciI6ImJsb2JfaWQifX0=--c0b1e58de8859b0a61e6fad701e9d4bc90d27ca9/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGciLCJyZXNpemUiOiI1MTJ4NTEyXHUwMDNlIn0sInB1ciI6InZhcmlhdGlvbiJ9fQ==--0ba8b7f58340100b312280e63751a8a851d1f9fb/Gen25_festival-kulturfest.jpg","https://www.visitlisboa.com/en/events","","","KULTURfest - Festival of German Expression Cultures l","","false","true","8","1","has_title | title_event_pattern:/\bfestival\b/i | source_visitlisboa | good_host"
"visitlisboa","en/events/trezena-to-saint-anthony","Trezena to Saint Anthony","Trezena to Saint Anthony","","","","","","","","Lisbon","Free Entry","","https://www.visitlisboa.com/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsiZGF0YSI6MzA1MjQsInB1ciI6ImJsb2JfaWQifX0=--5f532375d8bcbdc27267b36a7114e7a0682363fb/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGciLCJyZXNpemUiOiI1MTJ4NTEyXHUwMDNlIn0sInB1ciI6InZhcmlhdGlvbiJ9fQ==--0ba8b7f58340100b312280e63751a8a851d1f9fb/trezena.jpg","https://www.visitlisboa.com/en/events","","","Trezena to Saint Anthony","","false","true","6","1","has_title | good_category | source_visitlisboa | good_host"
"visitlisboa","en/events/cineconchas_","CineConchas'26","CineConchas'26","","","","","","","","Lisbon","Free Entry","","https://www.visitlisboa.com/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsiZGF0YSI6MzEyMzUsInB1ciI6ImJsb2JfaWQifX0=--cf671365eb77ad3491a88c9eb6320de90f55afe3/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGciLCJyZXNpemUiOiI1MTJ4NTEyXHUwMDNlIn0sInB1ciI6InZhcmlhdGlvbiJ9fQ==--0ba8b7f58340100b312280e63751a8a851d1f9fb/Cine-Conchas.jpg","https://www.visitlisboa.com/en/events","","","CineConchas'26","","false","true","6","1","has_title | good_category | source_visitlisboa | good_host"
"visitlisboa","en/events/portuguese-surf-film-festival","Portuguese Surf Film Festival","Portuguese Surf Film Festival","","","","","","","","Lisbon","From €5","","https://www.visitlisboa.com/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsiZGF0YSI6MzEyNjksInB1ciI6ImJsb2JfaWQifX0=--714715c6a9100c5eb13a8b54bb22db09ab56a2f8/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGciLCJyZXNpemUiOiI1MTJ4NTEyXHUwMDNlIn0sInB1ciI6InZhcmlhdGlvbiJ9fQ==--0ba8b7f58340100b312280e63751a8a851d1f9fb/145-PSFF.jpg","https://www.visitlisboa.com/en/events","","","Portuguese Surf Film Festival","","false","true","8","1","has_title | title_event_pattern:/\bfestival\b/i | source_visitlisboa | good_host"
"visitlisboa","en/events/brunch-electronik-lisboa-l","Brunch Electronik Lisboa'26","Brunch Electronik Lisboa'26","2026-07-01","","2026-07-31","","Tapada da Ajuda - Lagoa Branca","Tapada da Ajuda - Lagoa Branca","Tapada da Ajuda, 1349-017, Lisboa","Lisbon","","","https://www.visitlisboa.com/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsiZGF0YSI6MzAyNjQsInB1ciI6ImJsb2JfaWQifX0=--b90c26d6a7e33a1d66d3bb5ac11bf40dd592815d/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGciLCJyZXNpemUiOiIxMjAweDEyMDBcdTAwM2UifSwicHVyIjoidmFyaWF0aW9uIn19--19d67177a9879edd8f885ce80c29da2d57a5e00e/GEN25-brunch-eletronik.jpg","https://www.visitlisboa.com/en/events/brunch-electronik-lisboa-l","http://lisboa.brunchelectronik.com","Month only (July 2026) given; exact dates TBC","Brunch Electronik Lisboa'26","https://www.visitlisboa.com/en/events/brunch-electronik-lisboa-l","true","true","6","1","has_title | good_category | source_visitlisboa | good_host"
"visitlisboa","en/events/jazz-em-agosto-2","Jazz em Agosto'26","Jazz em Agosto'26","","","","","","","","Lisbon","","","https://www.visitlisboa.com/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsiZGF0YSI6Mjk2MzcsInB1ciI6ImJsb2JfaWQifX0=--0db564057d420abae3fd278bd9501dc75e6e6db8/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGciLCJyZXNpemUiOiI1MTJ4NTEyXHUwMDNlIn0sInB1ciI6InZhcmlhdGlvbiJ9fQ==--0ba8b7f58340100b312280e63751a8a851d1f9fb/JEA-GEN25.jpg","https://www.visitlisboa.com/en/events","","","Jazz em Agosto'26","","false","true","7","1","has_title | date_signal:/\b(?:janeiro|fevereiro|mar[çc]o|abril|maio|junho|julho|agosto|setembro|outubro|novembro|dezembro)\b/i | source_visitlisboa | good_host"
"visitlisboa","en/events/festas-do-mar-cascais","Festas do Mar | Cascais","Festas do Mar | Cascais","","","","","","","","Lisbon","","","https://www.visitlisboa.com/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsiZGF0YSI6MzE3NjIsInB1ciI6ImJsb2JfaWQifX0=--344ae5266db75d782ef98134a684d6b9e65c2ae9/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGciLCJyZXNpemUiOiI1MTJ4NTEyXHUwMDNlIn0sInB1ciI6InZhcmlhdGlvbiJ9fQ==--0ba8b7f58340100b312280e63751a8a851d1f9fb/cascais.jpg","https://www.visitlisboa.com/en/events","","","Festas do Mar | Cascais","","false","true","7","1","has_title | date_signal:/\b(?:jan|feb|mar|apr|may|jun|jul|aug|sep|sept|oct|nov|dec)\b/i | source_visitlisboa | good_host"
"visitlisboa","en/events/feira-da-luz-2","Feira da Luz","Feira da Luz","2026-08-01","","2026-08-31","","Largo da Luz","Largo da Luz","Largo da Luz, 1600-000, Lisboa","Lisbon","Free Entry","","https://www.visitlisboa.com/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsiZGF0YSI6MzU2MjMsInB1ciI6ImJsb2JfaWQifX0=--c818eb952c67ca098a9af9561e14261c94641c0e/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGciLCJyZXNpemUiOiIxMjAweDEyMDBcdTAwM2UifSwicHVyIjoidmFyaWF0aW9uIn19--19d67177a9879edd8f885ce80c29da2d57a5e00e/2026-Feira-da-luz.jpg","https://www.visitlisboa.com/en/events/feira-da-luz-2","","Dates inferred as August 2026 from page; exact days not specified, traditionally held from first Saturday to last Sunday in September but 2026 listed as August (to be confirmed).","Feira da Luz","https://www.visitlisboa.com/en/events/feira-da-luz-2","true","true","8","1","has_title | title_event_pattern:/\bfeira\b/i | source_visitlisboa | good_host"
